0,Thank you. It is the work of many
1,generations.
2,Not if I can help it.
3,"Elizabeth, Darcy and Miss Bingley stand in silence as"
4,they over hear the following...
5,You know how I detest it.
6,You are dancing with the only handsome
7,girl in the room.
8,"Perfectly tolerable, I dare say, but not"
9,handsome enough to tempt me.
10,Elizabeth's smile drops.
11,I thought that poetry was the food of
12,love.
13,"So what do you recommend, to encourage"
14,affection?
15,I think her concern for her sister does
16,her credit.
17,"A little pause, Caroline recovers."
18,• You are mistaken. I write rather slowly.
19,"Caroline Bingley lingers, annoyingly."
20,"It is fortunate, then, that they fall to"
21,my lot instead of yours.
22,"I have already told her once, by your"
23,desire.
24,Lizzie looks across from her book.
25,The word is indeed applied too liberally.
26,I cannot boast of knowing more than half
27,"a dozen women, in all my acquaintance,"
28,that are truely accomplished.
29,I do.
30,And of course she must improve her mind
31,by extensive reading.
32,Elizabeth closes her book.
33,Are you so severe on your own sex?
34,"You can only have two motives, Miss"
35,"Bingley, and I would interfere with"
36,either.
37,Either you are in each other's confidence
38,"and have secret affairs to discuss, or"
39,you are conscious that your figures
40,appear to the greatest advantage by
41,"walking. If the first, I should get in"
42,"your way. If the second, I can admire you"
43,• much better from here.
44,That I couldn't say.
45,Maybe it's that I find it hard to forgive
46,"the follies and vices of others, or their"
47,"offences against myself. My good opinion,"
48,"once lost, is lost forever."
49,I find it perfectly adequate even if
50,society is a little less varied than in
51,town.
52,Miss Bennet.
53,They share a look as Elizabeth joins the rest of the
54,Bennets in the carriage. The driver takes off. Bingley
55,waves enthusiastically to Jane.
56,"May I have the next dance, Miss"
57,Elizabeth.
58,Elizabeth is stunned.
59,Indeed. Most invigorating.
60,"They continue, for a moment, in silence."
61,"I am perfectly happy to oblige, please"
62,advise me of what you would like most to
63,• hear.
64,Do you talk as a rule while dancing?
65,I see no striking resemblance of your own
66,"character in this, how near it is to mine"
67,your sisters very often walk to Meryton?
68,I will admit your Mr Wickham is blessed
69,with such happy manners as may ensure his
70,making friends - whether he is capable of
71,retaining them is less certain.
72,I am. May I ask to what these questions
73,tend.
74,And what have you discovered?
75,I hope to afford you more clarity in the
76,• future.
77,"I trust your family is in good health,"
78,Miss Bennet?
79,She plays very well.
80,"I am well enough acquainted with you,"
81,"Miss Bennet, to know I cannot alarm you"
82,even should I wish it.
83,A beat. They eye each other warily. Colonel Fitzwilliam
84,joins them.
85,I do not have the talent of conversing
86,easily with people I have never met
87,before.
88,This is a charming house. I believe my
